publication,input_group,alternative,criterion,value,unit,source_file,locator,note
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,Reliability,2.22,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,Brand image,4,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,Market position,5,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,References,5,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,Vision,4,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,Implementation cost,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,Purchasing cost,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,Service & support cost,1,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,Compatibility,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,Cross-module integration,5,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,Functionality,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,A,Reliability,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,Brand image,4,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,Market position,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,References,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,Vision,4,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,Implementation cost,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,Purchasing cost,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,Service & support cost,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,Compatibility,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,Cross-module integration,4,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,Functionality,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,B,Reliability,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,Brand image,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,Market position,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,References,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,Vision,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,Implementation cost,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,Purchasing cost,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,Service & support cost,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,Compatibility,4,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,Cross-module integration,4,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,Functionality,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,C,Reliability,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,Brand image,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,Market position,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,References,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,Vision,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,Implementation cost,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,Purchasing cost,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,Service & support cost,4,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,Compatibility,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,Cross-module integration,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,Functionality,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,D,Reliability,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,Brand image,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,Market position,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,References,1,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,Vision,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,Implementation cost,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,Purchasing cost,3,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,Service & support cost,4,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,Compatibility,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,Cross-module integration,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,Functionality,4,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,alternative_score,E,Reliability,2,1–5 ordinal score,NP07_Kilic_2015,"PDF p6, Table 3","Paper states 1=worst and 5=best; applied literally to all criteria, including cost-labeled criteria"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,Brand image,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,Market position,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,References,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,Vision,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,Implementation cost,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,Purchasing cost,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,Service & support cost,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,Compatibility,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,Cross-module integration,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,Functionality,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Kilic_2015 Kılıç et al. 2015,preference_function,,Reliability,2,p threshold,NP07_Kilic_2015,"PDF p6, Table 2","V-shape preference function, p=2"
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_scenario,,Scenario 1,25% of mean,scenario specification,NP07_Temur_Bolat_2018,"PDF pp10–11, scenario definitions / Table II",uncertain=scores; distribution=normal
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_scenario,,Scenario 2,25% of mean,scenario specification,NP07_Temur_Bolat_2018,"PDF pp10–11, scenario definitions / Table II",uncertain=scores; distribution=lognormal
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_scenario,,Scenario 3,50% of mean,scenario specification,NP07_Temur_Bolat_2018,"PDF pp10–11, scenario definitions / Table II",uncertain=scores; distribution=normal
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_scenario,,Scenario 4,50% of mean,scenario specification,NP07_Temur_Bolat_2018,"PDF pp10–11, scenario definitions / Table II",uncertain=scores; distribution=lognormal
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_scenario,,Scenario 5,25% of mean,scenario specification,NP07_Temur_Bolat_2018,"PDF pp10–11, scenario definitions / Table II",uncertain=weights; distribution=normal
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_scenario,,Scenario 6,25% of mean,scenario specification,NP07_Temur_Bolat_2018,"PDF pp10–11, scenario definitions / Table II",uncertain=weights; distribution=lognormal
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_scenario,,Scenario 7,50% of mean,scenario specification,NP07_Temur_Bolat_2018,"PDF pp10–11, scenario definitions / Table II",uncertain=weights; distribution=normal
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_scenario,,Scenario 8,50% of mean,scenario specification,NP07_Temur_Bolat_2018,"PDF pp10–11, scenario definitions / Table II",uncertain=weights; distribution=lognormal
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_setting,,cloud_sample_size,1000,setting,NP07_Temur_Bolat_2018,"PDF p12, CBDO model specifications",Starting points are explicitly said to be randomly generated by the CBDO GUI; no random seed is reported
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_setting,,confidence_level,90,setting,NP07_Temur_Bolat_2018,"PDF p12, CBDO model specifications",Starting points are explicitly said to be randomly generated by the CBDO GUI; no random seed is reported
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_setting,,weight_computation_iterations,3000,setting,NP07_Temur_Bolat_2018,"PDF p12, CBDO model specifications",Starting points are explicitly said to be randomly generated by the CBDO GUI; no random seed is reported
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_setting,,confirmation_runs,2,setting,NP07_Temur_Bolat_2018,"PDF p12, CBDO model specifications",Starting points are explicitly said to be randomly generated by the CBDO GUI; no random seed is reported
NP07_Temur_Bolat_2018 Temur & Bolat 2018,CBDO_setting,,model_iterations,10,setting,NP07_Temur_Bolat_2018,"PDF p12, CBDO model specifications",Starting points are explicitly said to be randomly generated by the CBDO GUI; no random seed is reported
